label,tweet
disgust,"Saya sering kali menemui beberapa video yang awalnya lucu dan menghibur tp di akhir video ada suara desahan yg sangat keras, ini jelas membuat resah dan malu, bagai mana mengatasi permasalahan tersebut. Terima kasih."
fear,"gue yg dulu bingung knp org bisa trauma berkepanjangan skrg baru sadar setelah ngerasain sendiri, kita ga speak up kdg krn takut dibilang lebay lah boong lah bla bla. ngatasin traumanya aja udh susah tmbh lg di judge org lain jd mending diem."
joy,@cristianebianto Biii kamu di sby apa udah balik Bogor bi?
sadness,KenaTipu.com
sadness,"Iya yg diskrinsut itu mba boo. Para neto berhasil menemukan siapa org tersebut hanya bermodalkan gambar lengan wkwk. Iya sih mba, hal kaya gitu ga pantes dibuat becandaan"
trust,Campus-campus harus di sterilkan dari organisasi-organisasi paham radikal termasuk dosennya !!! Harus di bina. Kata…
sadness,@MRomahurmuziy @GIGI_Band Kamu tau yang lebih sakit? yaitu dimusuhin serakyat karena berbeda pilihan klo kata dilan…
anticipation,"tanya dulu pa.. nanti klo udah keciduk, takutnya dia bilang akun sya dicuri orang.. haha.. @fadlizon @Gerindra"
anticipation,Pastikan perjalanan liburan Anda aman dan menyenangkan dengan proteksi dari Asuransi Hario Siaga. Dapatkan di evoucher.mnclife.com
joy,@panca66 @MRomahurmuziy Tdk elegan kalo Kata bpk sby mah
sadness,Rinduku ini bagaikan di ujung hati CInta ini bagai ilusi yang tak bertepi Cinta mengapa singgah di hatiku Kau salah memilih tempat dan waktu Tak tahan aku menahan rasa Aku tersiksa
sadness,Hikssss [USERNAME] knp daerah jln jambon (kodya Yogyakarta) sering mati listrik?? mlm ini mati listrik lg. Knp oh knp di kota besar kok listrik sering mati
anticipation,"Kenapa facebook mengetahui nomer ponsel pribadi saya, padahal tidak pernah saya publikasikan di facebook.\nMohon tanggapan dari facebook."
sadness,"Min tlg dong di respon keluhan saya, aku udh berulang kali kirim laporan tentang permasalahan ini tp ko ga ada respon sm skali, udh brp bln ini aku tidak bs siaran langsung di sini lantaran di block, kan nyebelin aku nya jd ga bs nge vlog moment2 yg seru utk di share atau posting, tlg dong secepatnya di respon keluhan ku ini ☹"
sadness,"ridwanosz [1] Sore, Mas Ridwan. Mohon maaf atas ketidaknyamanannya. Terkait keluhan tidak dapat aktivasi paket deng…"
trust,Ayo yah Ellen Jaya Ac Ptp
anger,@gunsricardo28 @fadlizon @Gerindra @prabowo Jokowi bentar lagi nyungsep...! Klo gak curang paati nyungsep dia. Gue…
trust,@faizalassegaf @Aryprasetyo85 @SBYudhoyono si pep bukan citra lagi nih kelasnya sudah oplas
sadness,Promo ini udh gk ada lama kata pegawai kasirnya pas mau pesan bln lalu
anticipation,Bisa order disini gak min?
anger,Pengacara Setya Novanto Tuding Wapres JK Bikin Gaduh
joy,Kanee ituu bikin blengeer apa lagi kalo pedes bikin nyoss
sadness,"Percayalah dik, tidak ada yang lebih sakit selain lupa bawa kacamata saat di perpustakaan. Nempel-nempel dah muka gue ke monitor.. [URL]"
joy,Terharu semoga kita semua diBerkahin yg Maha kuasa ya
disgust,"Mau tanya serius bang @Fahrihamzah, kalo dulu oposan blm punya capres jd nyinyir dan cenderung menyerang, nah skrng…"
anger,@detikcom gerindra taik luh @Gerindra
anger,Kemudian browsing dan ada nemu modus penipuan oleh orang yg mengaku bernama Indra Gunawan dari call center Gojek. Namanya sama. Suaranya sama. Wooo....nipu kok namanya gak ganti
anticipation,Jika iklan promosi sudah diterbitkan di halaman fb..apakah saya akan dapat tagihan..sedangkan ketika mendaftar saya belum sempat memilih pembayaran akan dilakukan lewat apa...transfer ato.pk kartu apa..visa ato...apa...klo dah kena tagihan..saya mu cancel..karena ada kesalahan..di penyampaian iklannya...terimakasih
trust,Mantab pk.sukses sllu.
sadness,Aku malah ditolak b0z..
anticipation,@bangsa_patriot @Adra94193051 Bagaimana menurut pengamat politik @rockygerung @RamliRizal @MardaniAliSera…
sadness,Kangen ngajar privat. Kangen ngajar TPQ. Kangen rapat jam 6 pagi. Kangen agenda nginep Sabtu-Minggu. Yea. My life so flat now. Maybe I need Cheetos?
joy,Terima kasih biar tambah pengetahuan dari ibu Susi yg nyentrik banget.
sadness,Jadi Agustus itu 1. Jadwal pulang karena teman menikah 2. Agenda jalan bareng sama rekan kantor Dua pilihan yang sama-sama ingin ikut tapi gimanaaaaaaaaa... Padahal jarang banget aku nemu waktu pas dan hati mau ikut.
anger,Aq tak sego pecel ae...
joy,Mau cari Rumah di Bandung harga MURAH..? Hubungi: 0856-2188-325 kami siap bantu Anda mencarikan Rumah Idaman sesuai budget anda ^_^
fear,"Setuju bgt sama ko ernest. Karena setelah beberapa bulan baca story di ignya @/catwomanizer ternyata banyak bgt perempuan sama laki2 yg gaberani ngomong kalo mereka dilecehkan, dan jatohnya jadi trauma seumur hidup lho. Ternyata ini nyata, bukan rekayasa. Serem bayanginnya"
anger,"Lambat laun kok makin ga jelas dan semakin kurang ajar. Gw sabar. Jujur ya, gw ga pernah dan ga mau scr frontal maki org. Gw blg baik2, nasehatin. Scr adek2."
sadness,"Benar, baca komen-komen di IG Via Vallen jadi semacam miniatur mentalitas sebagian orang Indonesia dlm menyikapi pelecehan seksual baik verbal ataupun fisik."
fear,"Selamat siang Admin Facebook ,mohon bantuannya, sya tadi pagi sudah bayar Saldo akun iklan sya, tapi belum masuk sudah d tunggu 5jam, biasanya gak sampai 10menit sudah masuk, tapi ini sampai berjam2 belum masuk , mohon bantuannya"
trust,@sadulurjabar Program kang @ridwankamil paling keren dan bakal bisa menjadikan membawa perubahan di jabar
anger,"[USERNAME] [USERNAME] Presiden itu badan executive sedang DPR itu badan legislative, bagaimana bisa dua lembaga yang berbeda dapat diartikan pemerintah?"
fear,[USERNAME] libur tapi ini tugas dikumpulin senin aq takut kalo tida selesai p.s sekali lagi ngirim foto yoongi yang macem gituan AQ BLOCK p.s.s SAME ENERGY WITH THIS PICT DJKDDJDLDL [URL]
anticipation,Facebook bisa gak menyediakan pilihan rekaman di kolom komentar? Biar bisa voice chat. Soalnya butuh untuk belajar bahasa asing. Jadi bisa belajar pronunciation dengan baik. Terimakasih
fear,@zarazettirazr @ZUL_Hasan @anismatta Saya agak resah kalo @PDemokrat koalisi dgn PAN krn Amien Rais sering bkin isu…
anticipation,Maaf min kalo mau kerja di CFC gimana ya? Umur 25 mash bisa ga? Maaf nyepam
sadness,Yth pak menteri @ignasius jonan.. Warga cilongok sangat menderita krn efek air buthek akibat kegiatan  Geothermal pt sae..
anger,"Mantan Ketua MPR, takluk ... Ketua Partai, takluk ... Tertawalah buronan sang penakluk ... hahahaha. Maka jadilah mereka sekelompok gerombolan yg suka buat gaduh."
fear,"kejadian malam ini, pulang jam 00.25 langsung ganti baju terus mau cuci muka pas baru selesai cuci muka di kmd pas lagi handukin muka tbtb ada suara ""tolong"" dibelakang aku persis. ini udah terjadi beberapa kali sesring itu kirakira ada apa ya serem bgt lamalama keganggu juga"
fear,"kalo sifat buruk mungkin bisa dirubah dengan bertambahnya umur atau berubahnya keadaan. kalo kebiasaan buruk mungkin sulit ya? karena semacam udah jadi hobi, gitu ga sih?"
joy,"@LuqmanPKB : Minadz dzulumati ilan Nur\nHabis gelap terbitlah terang.\nKartini, perintis Kebangkitan kesadaran akan e…"
fear,"Rokok itu candu, bukan berarti tidak bisa berhenti, karna nyatanya saya juga bisa berhenti dengan kesadaran penuh. Tapi sulit. Akan lebih mudah mencegah si calon perokok daripada menasehati si keras kepala yang terlanjur memuja dan menghamba pada asap rokok."
anticipation,hello facebook! cara batalkan blokir pesan dgn seorang teman di fb ngimana? tapi pesannya atau percakapannya sudah sy hapus ? terima kasih
anger,Belajar jadi oposisi dimana partai ini... kok nyinyir dan provokatif sekali. Ini tanda juga tidak mampu jadi oposisi yg baik. [URL]
anger,"#ILCBPIP Betul Prof suteki. Klo memang perlu Bpip itu didirikan.. Masa orangnya yg gk paham pancasila "" akhirat itu ramalan Masa depan"".. ck ck.. politik balas Budi nihh.."
trust,@Gerindra @prabowo program Asyik Preneur pak @MayjenSudrajat @syaikhu_ahmad tdk hanya efektif meningkatkan kesejaht…
anger,"SEMUA WARGA NTT, SUKA ATAU TIDAK TENTU BANYAK DIANTARA KITA TAK SETUJU KLAIM SEPIHAK & TAK PANTAS DARI [USERNAME] DI [USERNAME] SEBAGAI ""TUHANNYA NUSA TENGGARA TIMUR""([URL] MALAH [USERNAME] DICACI MAKI KARENA BERANI KRITISI TIMSES VBL,[USERNAME] &amp"
joy,Pak @airlangga_hrt selalu senang berdiskusi bersama anak-anak muda ttg hal-hal yg positif dan terkait situasi bangs…
anger,Kalo ini ga ada bukti berarti fitnah. Tolong [USERNAME] menindaklanjuti pernyataan ybs. Jangan sampai dianggap tidak berani ya Pak. [URL]
fear,@budimandjatmiko Di surabaya ada teroris meldakan bom bunuh diri\nDi jabar dalam debat pilgub ada calon yang meledak…
anger,samanye udeh maling semua gak si jancok gak si anjing gak si siluman monyet hahahahaha SATU HATI SAMA SAMA MALING !!!!
disgust,"@Yusrilihza_Mhd Cebong selalu beranak pinak,...nguber setoran..apapun AKUNMU,.te2p 2019 Ganti Presiden"
joy,"SALAM SEJATERA\nSujud sukur berkat bantuan HABIB AJI WAHYD sahaye podium lagi,,, dan berkat informasi dari member-member HABIB AJI WAHYD,,, yang telah meyampaikan bahwa jika anda ingin mengubah nasib melalui angka togel ghoib hubungi WhastApp +6282191452544  HABIB AJI WAHYD dan malamnya saya sudah buktikan berkat bantuan HABIB,,,yang telah memberikan angka togel ghoib 8903 MAGNUM 4D akhirnya saya menang,,, dan insyaallah saya bisa lunasi semua hutang-hutang saya yang lagi di BANK,,,sekali lagi saya ucapkan banyak-banyak terimah kasih kepada HABIB AJI WAHYD,,, dan member-member.nya yang telah menginformasikan keberhasilanya,,,dan saya turut menginformasikan,,,jika anda merasa punya beban (hutang) yang sudah lama belum bisa terlunasi,,,dan ingin mengubah nasib lebih layak dibandingkan nasib yang sekarang seperti saya,,,dan member-member yang lain silahkan hubungi HABIB AJI WAHYD WhastApp +6282191452544,, \nBELIAU BISA MEMBANTU DI PUTARAN APAPUN,ATAU ANDA BUTUH PESUGIHAN SILAHKAN HUB HABIB AJI WAHYD DEMIKIAN KISAH NYATA DARI SAYA"
anticipation,"selamat pagi, untuk membuat halaman yang berdasarkan minat / dikategori minat itu bagaimana?"
trust,"Dengan adanya fb hidup ini indah bisa bnjak teman jg bagi bagi ilmu tentang rasa jg ahlak trimakasih ,fb,"
anger,Setiap peristiwa gw sikapi masing masing ..gak gw buat paket soale ya. Parpol parpol yg kadernya korup ada Bukan cuma korup tapi kejahatan lainnya. Pertanyaannya apakah setiap kejahatan itu selalu dihubungkan dgn Ketumnya? Kalo iya cek lagi kejahatan yg dilakukan kader parpol
sadness,"Waktu SD pernah dpt kesempatan seleksi untuk masuk tim kecamatan ke popda tingkat Kabupaten. Waktu ujicoba lawan kecamatan tetangga, saya cetak 2 gol, pertandingan berakhir 2-0. Saya ga lolos seleksi, yg lolos utk posisi striker anaknya guru"
anger,"Untung aja gak latah sharing berita pembodohan yg jelas hoax.  \nWA ku banjir ama hoax yg satu ini. Plis deh...jd orang smart dikit, pake logika kalo baca atau dapet berita."
disgust,Pak Gub senang diatas penderitaan mba Sinta.. Nebeng mba Sinta dan kakak Koni ☺️#AHYsapaLampung #JanganLupakanSinta…
trust,"@prabowo Prabowo bkn tong kosong nyaring bunyinya, demi allah sy tdk promosi prabowo dg dpt sesuatu, atau dpt jabat…"
anger,"Elu nanti punya anak perempuan, ngalamin pelecehan. Terus anak elu suruh woles atau ignore aja? Ciri-ciri bakat ibu yg gagal sih ini. Tolol!! [URL]"
joy,@cakimiNOW Ke Bali Resmikan Posko JOIN &amp; Temui Raja-Raja se-Bali\n#JOIN2019 \n#CakIminCintaBali\n#CakIminTheNextWapres…
fear,menyebut deklarasi saat momen Hari Buruh merupakan bentuk ketakutan Prabowo Subiant…
sadness,"Allah yg paling tahu, mana yg paling ingin taubat dg diam dan sabar. Bukan dg teriak sambil ajak orang lain utk membenarkan dirinya yg paling benar"
sadness,"Rame bener ya org22, padahal mo twitter kayak apa, instagram kayak apa, ya kita mah begini begini aja yakan kayak rakyat gitu biasa yg pada umumnya, standar aja gitu."
trust,cakePPP..
anticipation,Mohon bantuan fb anak sya sudah 1bln tidak mendapatkan sms kode masuk sehingga tidak dpt masuk ke akun..
disgust,Yg perlu di reformasi PDIP
trust,Pemerintah hrs semakin terbuka soal data TKA biar semua paham pakai nalar normal @jokowi @cakimiNOW\n@hanifdhakiri
anger,Evaluasi dikit boleh x ya buat yg terlalu sering nyinyirin ttg masalalu negara. Bangun coi kita hidup di era kemunduran kemerosotan moral coi!! gimana caranya kita bangkit dari masalalu bukan sibuk ataupun asik mengkritisi masalalu tanpa memikirkan kewajiban didepan mata.
joy,@SemarangTalks @ettypdam @hendrarprihadi @ganjarpranowo Mhn info apakah sdh mengalir?
joy,"Liburan, Yuk! Manjain Mata di Kaki Gunung Masurai - @SBYudhoyono @Aniyudhoyono…"
joy,@prabowo Selamat pagi pak... Semoga sehat selalu
anger,@Lutfi16226347 @Yayangaja7 @sudirmansaid Hubungannya Sahwat Politik Kekuasaan!
joy,@vincent0930 @TolakBigotRI @P3nj3l4j4h @SiegerAnwalt @Takviri @LusiHQ @qitmr @Gerindra BETUUUUUULLLL JANGAN DIPILIH...!!!!
anticipation,Tidak susah mengidentifikasi penyakit dalam tubuh. Anda hanya perlu peka terhadap beberapa tanda-tanda yang muncul di tubuh Anda.\nBerikut diantaranya... goo.gl/oyvtGH\n#MNCLifeTip
joy,@prabowo Pagi! Komando Dan!
sadness,"Ko fire chicken saos sambel ya,,,kirain sambel aslii"
anticipation,"1x24 Jam, Bawaslu Riau Perintahkan Baliho 4 Jari Airlangga Hartarto Diturunkan"
joy,@fadlizon @prabowo @Gerindra INSYA ALLAH Bapak @prabowo PRESIDEN @Gerindra MENANG ... AAMIIN !
joy,Tetap semangat pak. Semoga sehat selalu.
sadness,Retweeted ridwan kamil (@ridwankamil):\n\nTurut berduka cita untuk para korban dan masyarakat Surabaya. Mengutuk kera…
sadness,@cakimiNOW @DPP_PKB @radarbangsaID \nSang Pemimpin terkejut dan turut berduka cita atas kejadian pengeboman di Surab…
anticipation,"@cakimiNOW: Nusakambangan Diserahkan ke @nahdlatululama, Teroris Jadi Kiai #CakIminUntukIndonesia"
trust,jadikan pionir dlm hidup sukses
anticipation,Bandung udh ada blm yah?
joy,@obsat malam ini bikin acara yang bikin inspirasi menyala lagi. Kalian hebat! Apalagi bisa ngegandeng Pak Menteri…
anticipation,Brp harganya..
trust,Hadiah pertama bagi yang melakukan kebaikan adalah kebaikan. @SBYudhoyono
fear,"Setuju pak [USERNAME], sama antisipasi kegiatan SOTR jg pak yg blm lama terjadi justru berujung tawuran & disertai aksi vandalisme, demi terciptanya keamanan dan kenyamanan warga, kasihan yg pulang kerja larut malam. Terlebih mendekati hari raya"
anger,Pindah gedung bukanya pelayanan makin baik malah makin makin. Dikira waktuku cuma buat antri disini yah. Dikira ga ada kerjaan lain yah. Buset buset
trust,Kangen jadi anak buah Pak Jonan lagi. Kerja keras namun puas karena tujuan yang jelas.
anger,"@jntexpressid Pesanan saya dari bandung ke batam dah 2 minggu ga nyampe2, gimana ni min? tolong tanyakan ke J&amp;T Bat…"
anger,Betul bersihkan Pak... kejadian2 yg bikin para bong nyinyir habis2an Gub Indonesia kita ehh ujung2nya kerjaan Gub sebelumnya. Usut tuntassss [URL]
anticipation,paket bukbernya berapaan
disgust,Wkwkwk bangkruttt nanti bangkruttt ko MCdonal
trust,Hhhmmm...promo lgi promo lgi Super indo emng top markotop deh ayo sgera d borong
anticipation,Yg pmnenang hp blom ada ya
trust,Kita sebagai manusia harus meng hormati menjungjung menyayangi menghormati seorang ibu tidak akan sukses orang kalau durhaka terhadap seorang perempuan yang telah melahirkan kita ke Alam pana ini
anticipation,"Perpres TKA Jokowi Dituding Pro Asing, Grace Natalie Beberkan Hasil Temuan Tim Riset"
disgust,"@rahmatyasir9 @kompascom @sudirmansaid Mungkin isih dipikir Mbah Rahmat, penake kepriweh ya? Lha wong aku wae kapusan."
joy,PDIP Semarang tidak masalah didatangi polisi bersenjata
trust,Kita #Rindu tidak ada lagi infrastruktur ancur ancuran  \n#RinduJabarJuara1 #RinduMenangDebat #jjonl1ne @ridwankamil
trust,"Tahukah Anda bahwa makanan yang dikukus memiliki lebih banyak kandungan vitamin yang berasal dari zat pada makanan tersebut. Suhu panas yang dikeluarkan saat mengukus makanan, akan membuat vitamin yang terkandung dalam makanan tidak hilang. \n\n#polamakansehat #sehat\n\n#LippoInsurance #LGI #CashPlus #HealthInsurance #MyHealthDuo #S!gap #GeneralInsurance #eBenefit #Medicare #GoldenCare #TravelInsurance #HomeCare #AutoProtection #BusinessCare #FeelFreeToExpress #SuperSelamat #SuperSakti #LivelyTips #HealthPlus #MarineCargoInsurance #AsuransiAneka #MiscellaneousInsurance\n\nwww.lippoinsurance.com\nwww.MyProtection.id"
anger,#KopiMalam\n\nPrabowo harus dikunci. Semua jenderal penguasa pernah makan budi baik Prabowo. Semuanya berhianat. Air…
disgust,@andrirachman_AR @ToniPSI11 @LawanPoLitikJKW @Dennysiregar7 @AntoniRaja @grace_nat Nyindir Junjungannya sndiri
trust,Menteri Airlangga Hartarto Dorong Siemens Tingkatkan Investasi di Indonesia
fear,"Selamat malam, bagaimana cara refund deposit di Facebook, sedangkan akun saya yang untuk FansPage jualan di nonaktifkan oleh Facebook?  Terimakasih"
fear,"Hilma (temen adek) kmrn main k rumah & curhat, ""mbak aku kok telat lama yaa pdhl kan ini udh mau lebaran, kata tmnku kalo minum sangobion sama vit.B nanti bisa langsung dapet ya?"" Terus ku blg, ""coba aja kali beruntung hil"" pdhl mbatin, 'hmm aku kan jg telat, bisa ini dicoba' ?"
anticipation,kalau mau friendchise gmn ya utk kota medan?
anticipation,Hi facebook yg baik.akun teman saya di hek seseorang .bagaimana saya mengenal orang yg meng hek   tersebut?bls lh facebook yg baik.slmt mlam
joy,Setuju bang.... krn tdk sesuai ucapan dan perbuatan....
joy,"@cakimiNOW Allahu Akbar,,  Insya Allah Makbul"
anger,"Pengin gue bilang, heiiii, lo tuh lagi nyaplok duit yang seharusnya jadi hak orang yang lebih ga mampu dari lo! Atau, pengin gue ingetin kalau dengan iuran BPJS yang cuma sekian, dia sendiri juga bisa dapat pelayanan karena dibantuin iuran peserta-peserta lain. Mbok tahu diri."
sadness,Hi bagi pengguna facebook aku ingin nanya bagaimana cara mengganti tanggal lahir ya... Aku ultah tanggal 15 juli ko di fb 23 desember ya betulkan kembali donk tgl lahir aku
sadness," gue waktu itu buka kulkas , nah gua liat oren2 gua kira jeruk eh ternyata itu tomat anjir rasanya:))) mending kalo gue demen sayur lah ini makan tomat digadoin abis itu gue lepeh"
trust,"Selamat pagi, mengundang teman2 jurnalis untuk datang ke acara diskusi \Industri Rokok Harus Berhenti Eksploitasi Anak\. Diharapkan kehadiran teman-teman jurnalis untuk mendukung acara tersebut. Terima kasih :)"
joy,Terima kasih facebook berkat anda. Sy dapat menghibungi teman/rekan/sahabat dan sekarang terjalin lagi\n\nSemoga kedepan facebook lebih baik lagi dalam menjaga privasi penggunanya.\n\nSelamat dan sukses
trust,"Kerja,kerja,kerja mantap semangat ya pak Ignasius Jonan"
anger,"Ada korban #sexualharassment berani speak up malah dibully, dibilang lebay, ironisnya, ga sedikit kaum hawa yg ikut2an nyinyirin. Kayaknya kalian terbiasa dikirimin foto titit deh, empati buat sesama cewek jadi ga ada. #SaveViaVallen"
anger,"PKS, PAN, Gerindra dan partai lainnya dukung HTI. Dari sini kita paham posisi mereka atas kejadian radikalisme dan NKRI."
disgust,@fadlizon @Gerindra @prabowo Jgn pernah Launching produk baru yang 2x Gagal -JANGAN
joy,@destiko17 @Ridwan_DS @ihza_m7 Sekang bandung suwe wkwk
trust,Semoga hakim memberi putusan yg setimpal dg perbuatannya Aamiin....
fear,"Gimana caranya ngehadepin dosen yang dichat terus ngeread doang? Padahal responnya penting banget buat gue. Gue bingung mau ngapain, takut salah langkah."
fear,"Kemarenan takut melawan monster - monster di kantor baru. Tapi ternyata ada yang lebih menakutkan dari mereka dan paling susah untuk dilawan, adalah ketakutan diri sendiri untuk mencoba."
surprise,"@ganjarpranowo Ada org pindahan ,tahu tahu sdh punya kk dan ktp kampung saya,padahal harusnya kan ada pengantar rt rw dr tempat yg baru"
joy,Ganjar Apresiasi Dakwah \Jaran Goyang\ Ponpes Semarang\n#GroboganM3tal\n#KandangBant3ng\n#Ganjaryasin1\n#GroboganTetep1…
sadness,"Udah buru2 pulang biar bisa nonton ""The Clash of Titan"" eehh.... Serena memutuskan retired karena cedera otot lengan. Ya gimana lagi...kesehatan adlh yg utama kan. Setelah ini udah jelas, i'm rooting for Maria Sharapova. #RolandGarros18 [URL]"
joy,Yg trhormat BNI life.....saya mau nny sarat bwt asuransi pendidikin bwt anak sarat apany apa j y
joy,@CintaNKRI12 @prabowo Itu Tan Malaka!
joy,Semangat lebih di tingkatkan insaalloh barokah .
joy,"Jika selama hidup kita meneladani perbuatan baik sang Buddha, maka kita akan mendapatkan kemuliaan lahir dan batin. Selamat Hari #Waisak untuk semua Teman Blanja yang merayakan."
sadness,"Manggilnya udah sayang-sayangan, kalau chat udah kangen-kangenan, ternyata cuma jadi temen pas dia lagi kesepian"
trust,Sains merupakan jendela untuk melihat Tuhan lebih dekat
sadness,Kk bagaimana uang saya kk kenapa inbom saya ngak di balas dari tadi saya tunggu bagaimana kk ko seperti itu tolong kirimin aja uang saya di rek saya kk itu uang buat berlanja sekolah saya .
sadness,Turut berduka untuk para korban bom #Surabaya \nDan saya mengutuk keras para pelaku bom bunuh diri tersebut.\nIslam b…
fear,"Sejak saat itu, kamar ku nggak ku kasih kursi (biar si doi ngga duduk dikursi belajarku). Kalo tidur lampu harus nyala, karena ya gitu takut kalo tiba2 si doi muncul pas remang2 gitu."
fear,"Ini bener2 bikin tereak balik kanan nangis jejeritan. Waktu di rumah mbak di Trihanggo, malem2 nyuci lanjut jemur di samping rumah. Dan... Kayak ada yg siul. Padahal gelap. Pas diamatin, buset. Sugus kain mori nya udah kusem mukaknya hita"
joy,Apel Siaga Setia Megawati Setia NKRI.....bahwa kita kandang bant3ng....\n\n#ApelSiagaNKRI \n#PDIPerjuangan…
joy,Selamat atas yang tepilih untuk mewakili atas nama walhi semoga lebih baik lagi
disgust,"@RustamIbrahim Ada. Kamu bantah terus. Habib Rizieq Shihab, Ustadz Abdul Shomad, TGB, Mbah Maimoen Zubair, KH. Shol…"
trust,Lanjut kan
joy,"Ini dia pemenang remake komik @jonbrayy X A&W, kepada para pemenang akan mendapatkan voucher makan dari A&W .\n\nBerikut pemenangnya :\n\n@temannya_holis\n@hellorian\n@knovanto\n\nJangan lupa kirimkan biodata kamu dan foto ktp ke DM @awrestoranid. \n\nBuat kamu yang belum beruntung, tenang saja Promo #BedugBerkahAW akan selalu ada setiap minggunya. Ajak teman-teman kamu yuk, untuk follow Sosial Media A&W sekarang juga."
anger,Fuck you teroris.\nAgamamu apa karena tidak ada agama yg mengajari orang membunuh..\nKalau kau mau mati jangan ajak orang lain karena Tuhanmu iblis!!!!!\nFuck you politisi dan manusia2 bodoh yg ngomong bom rekayasa..ini manusia..anak2 mati karena ulah kalian haus kekuasaan..fuck you teroris membusuklah kalian dineraka
joy,@OfficialiNewsTV @ganjarpranowo @TajYasinMZ @sudirmansaid @idafauziyah Tetep putih mboten ngalih\n\n#GanjarYasin…
trust,# HARUS BISA........ DEMI CINTA !
fear,"Admin mohon bantuannya, kenapa Nomor Facebook saya tidak bisa dihapus ? Padahal udah di ganti sama yg baru , karena Nomor yg dulu sudah tidak aktif..."
anger,Itu penipuan... karena McD jarang ada promo... pake TCash aja cuma maks cashback 50rb.. ini lagi mau gratisan voucher 250rb... lo kira McD ga bangkrut apa klo kaya gitu... wkwkwkwk
anticipation,@Negeri_Sendiri Jadinya aku menghindari lewat jalan itu..biar muter yang penting belok kirinya langsung kak..ga kep…
fear,"Pemantauan dan sosialisasi di wilayah KRB III dengan melaksanakan patroli rutin, tetap semangat dan tetap waspada #waspadamerapi [URL]"
trust,Yess setuju bngt tuhh
anticipation,"Menutup debat, Paslon no. 3: Kami akan membangun Jawa Barat yang paling modern, maju, taqwa, dan sejahtera.…"
anticipation,boleh berhijab ga ka?
trust,@sahabatgusrommy @MRomahurmuziy Maju dan dukung terus bapak @jokowi dan @MRomahurmuziy dalam membangun Indonesia le…
trust,@ganjarpranowo doa kami dr jatim smg bpk menang
trust,Mendagri terbaik saat ini
fear,[USERNAME] sender gabisa bantu dia lapor ke komisi perlindungan anak atau polisi gitu ? sumpah menurut w udah diluar batas dan w khawatir banget sama temenmu. udah dibawa ke rumah sakit ?
trust,@BossToukeeIsa @SBYudhoyono @PDemokrat @hincapandjaitan @AgusYudhoyono Kl pak Budiono bukan gubernur BI yg punya ot…
trust,"Facebook baru saja meluncurkan Portal Remaja yang menyediakan tips, informasi privasi dan keamanan bagi kaum remaja agar mereka memiliki pengalaman yang menyenangkan saat menggunakan Facebook. Portal Remaja ini tersedia dalam 60 bahasa: facebook.com/safety/youth"
disgust,Proficiat untuk mas nur teman kos ku di pelem kecut...
anger,"@Gerindra Mana ada tka bsa masuk bebas tp gubernurnya gak tau..selama ini pak gub kmana aja,apa krn sudah ketahuan…"
joy,keriusan @ganjarpranowo dalam bidang kesehatan di tunjukan dengan prestasi yang membanggakan untuk jawa tengah dan…
anger,"Serius, gw bingung sama maksud and tujuan orang2 yg suka ngelempar kereta dengan batu. Nyakitin orang lain kan kalo sampe kena kaca n pecah? Punya penyakit jiwa kali yak?"
disgust,"@inong911 @FahruddinSalim @prabowo @GPAnsor_Satu Si ino status ky yg bener ingin hidup damai,, tak sesuai dgn omongan"
anger,"[USERNAME] [USERNAME] Kaya gini mau nyaleg..? Uda dapet korupsi berapa M, masih kurang.....?? Jadi inget ama yg nyolong ampli mushola... Sebanding ga harga ampli ama yg di korupsi TAUFIK...? Kalau mencuri ampli yg harganya ga seberapa di BAKAR HID"
joy,Mba Sinta butuh kepastian.. Nebeng mba Sinta dan kakak Koni ☺️#AHYsapaLampung #JanganLupakanSinta @MRF_Info…
joy,"keindahan alam hrs diracik dg keunikan budaya, spy destinasi wisata kita punya daya saing yg ckp tinggi dg neg lain, smg Tuhan sll mmberkati kita pk Mentri"
sadness,"Seperti katak dalam tempurung, kepercayaan tinggi terhadap hegemoni ilmu sains dan teknologi sebagai solusi pragmatis apolitis dari beragam permasalahan di Indonesia, adalah suatu bentuk dogma Sila google 'scientism' Sila google 'arogansi alumni ITB' Eh"
trust,@fadlizon @prabowo @Gerindra usul @PDI_Perjuangan untuk membuat poling tandingan kak?
disgust,@fadlizon @Gerindra Utk kepentingan komunitasnya nomor 1. \n\nUtk rakyat berpikir ulang
sadness,Knp g d semua store
disgust,Kebebasan berpendapat tanpa kontrol yg jelas dan tegas hanya menimbulkan keresahan di kalangan masyarakat bawah... jgn berpikir bahwa semua masyarakat mempunyai kemampuan berpikir yg sama dengan para aktivis2 yg maha pintar... mau dikemanakan 200jt rakyat indonesia klo setiap hari yg dilihat hanya perdebat2an tokoh2 yg mengatasnamakan rakyat tapi tidak pernah bertindak nyata melainkan penuh dengan teori2 yg melangit... sampai kapanpun Indonesia tidak pernah bangkit klo hanya seperti ini... reformasi sudah berjalan 18 tahun tapi tidak ada perubahan yg berarti ... klo dibilang masih sebentar 18 tahun itu trus mau sampai kapan?.. mau mewariskan apa buat generasi yg akan datang... aktivis 98 sudah banyak yg diam dan duduk manis di gedung terhormat.. apa yg mereka siapkan sebagai dasar yg kuat buat Indonesia yg bermartabat dN berdaulat?
